billing_date,billing_id,billing_document,billing_type,customer_number,sku,net_weight,weight_unit,country_code,country_name
2025-01-01,91312143/10,91312143,F2 (Invoice),509285,34594,750.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/11,91312143,F2 (Invoice),509285,34594,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/20,91312143,F2 (Invoice),509285,33463,1600.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/21,91312143,F2 (Invoice),509285,33463,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/30,91312143,F2 (Invoice),509285,29716,1890.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/31,91312143,F2 (Invoice),509285,29716,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/40,91312143,F2 (Invoice),509285,29827,1080.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/41,91312143,F2 (Invoice),509285,29827,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/60,91312143,F2 (Invoice),509285,29802,240.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/61,91312143,F2 (Invoice),509285,29802,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/70,91312143,F2 (Invoice),509285,34148,1000.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/71,91312143,F2 (Invoice),509285,34148,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/72,91312143,F2 (Invoice),509285,34148,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/80,91312143,F2 (Invoice),509285,32415,1000.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/81,91312143,F2 (Invoice),509285,32415,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/82,91312143,F2 (Invoice),509285,32415,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/90,91312143,F2 (Invoice),509285,33437,2000.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/91,91312143,F2 (Invoice),509285,33437,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/92,91312143,F2 (Invoice),509285,33437,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/100,91312143,F2 (Invoice),509285,32416,1000.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/101,91312143,F2 (Invoice),509285,32416,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/102,91312143,F2 (Invoice),509285,32416,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/103,91312143,F2 (Invoice),509285,29758,1000.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/104,91312143,F2 (Invoice),509285,29758,0.0,kg (Kilogram),ID,Indonesia
2025-01-01,91312143/105,91312143,F2 (Invoice),509285,29758,0.0,kg (Kilogram),ID,Indonesia
2025-01-02,90050219/10,90050219,F2 (Invoice),504075,26797,80.0,kg (Kilogram),US,USA
2025-01-02,90050219/11,90050219,F2 (Invoice),504075,26797,0.0,kg (Kilogram),US,USA
2025-01-02,90050220/10,90050220,F2 (Invoice),500873,25523,120.0,kg (Kilogram),US,USA
2025-01-02,90050220/11,90050220,F2 (Invoice),500873,25523,0.0,kg (Kilogram),US,USA
2025-01-02,90050220/20,90050220,F2 (Invoice),500873,20420,30.0,kg (Kilogram),US,USA
2025-01-02,90050220/21,90050220,F2 (Invoice),500873,20420,0.0,kg (Kilogram),US,USA
2025-01-02,90050220/30,90050220,F2 (Invoice),500873,20449,30.0,kg (Kilogram),US,USA
2025-01-02,90050220/31,90050220,F2 (Invoice),500873,20449,0.0,kg (Kilogram),US,USA
2025-01-02,90050220/40,90050220,F2 (Invoice),500873,24911,160.0,kg (Kilogram),US,USA
2025-01-02,90050220/41,90050220,F2 (Invoice),500873,24911,0.0,kg (Kilogram),US,USA
2025-01-02,91311999/10,91311999,F2 (Invoice),509511,34685,3000.0,kg (Kilogram),CH,Switzerland
2025-01-02,91311999/11,91311999,F2 (Invoice),509511,34685,0.0,kg (Kilogram),CH,Switzerland
2025-01-02,91312168/10,91312168,F2 (Invoice),502970,34101,20400.0,kg (Kilogram),AR,Argentina
2025-01-02,91312168/11,91312168,F2 (Invoice),502970,34101,0.0,kg (Kilogram),AR,Argentina
2025-01-02,91312168/12,91312168,F2 (Invoice),502970,34101,0.0,kg (Kilogram),AR,Argentina
2025-01-02,91312168/20,91312168,F2 (Invoice),502970,24776,1050.0,kg (Kilogram),AR,Argentina
2025-01-02,91312168/21,91312168,F2 (Invoice),502970,24776,0.0,kg (Kilogram),AR,Argentina
2025-01-02,91312169/10,91312169,F2 (Invoice),502970,34101,21600.0,kg (Kilogram),AR,Argentina
2025-01-02,91312169/11,91312169,F2 (Invoice),502970,34101,0.0,kg (Kilogram),AR,Argentina
2025-01-02,91312169/12,91312169,F2 (Invoice),502970,34101,0.0,kg (Kilogram),AR,Argentina
2025-01-02,91312169/13,91312169,F2 (Invoice),502970,34101,0.0,kg (Kilogram),AR,Argentina
2025-01-02,91312170/10,91312170,F2 (Invoice),508950,28607,17100.0,kg (Kilogram),MO,Macau
2025-01-02,91312170/11,91312170,F2 (Invoice),508950,28607,0.0,kg (Kilogram),MO,Macau
2025-01-02,91312170/12,91312170,F2 (Invoice),508950,28607,0.0,kg (Kilogram),MO,Macau
2025-01-02,94206689/10,94206689,F2B (Nota fiscal),509113,24305,2000.0,kg (Kilogram),BR,Brazil
2025-01-02,94206689/11,94206689,F2B (Nota fiscal),509113,24305,0.0,kg (Kilogram),BR,Brazil
2025-01-03,91312017/10,91312017,F2 (Invoice),507288,28797,5040.0,kg (Kilogram),CH,Switzerland
2025-01-03,91312017/11,91312017,F2 (Invoice),507288,28797,0.0,kg (Kilogram),CH,Switzerland
2025-01-03,91312017/12,91312017,F2 (Invoice),507288,28797,0.0,kg (Kilogram),CH,Switzerland
2025-01-03,91312018/10,91312018,F2 (Invoice),507288,28797,5040.0,kg (Kilogram),CH,Switzerland
2025-01-03,91312018/11,91312018,F2 (Invoice),507288,28797,0.0,kg (Kilogram),CH,Switzerland
2025-01-03,91312154/10,91312154,F2 (Invoice),507261,28757,20000.0,kg (Kilogram),AU,Australia
2025-01-03,91312154/11,91312154,F2 (Invoice),507261,28757,0.0,kg (Kilogram),AU,Australia
2025-01-03,91312171/20,91312171,F2 (Invoice),502618,21115,3000.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/21,91312171,F2 (Invoice),502618,21115,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/30,91312171,F2 (Invoice),502618,33556,200.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/31,91312171,F2 (Invoice),502618,33556,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/40,91312171,F2 (Invoice),502618,3013,600.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/41,91312171,F2 (Invoice),502618,3013,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/50,91312171,F2 (Invoice),502618,29045,20.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/51,91312171,F2 (Invoice),502618,29045,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/60,91312171,F2 (Invoice),502618,28820,1200.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/61,91312171,F2 (Invoice),502618,28820,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/62,91312171,F2 (Invoice),502618,28820,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/70,91312171,F2 (Invoice),502618,26804,300.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/71,91312171,F2 (Invoice),502618,26804,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/80,91312171,F2 (Invoice),502618,27567,4400.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/81,91312171,F2 (Invoice),502618,27567,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/90,91312171,F2 (Invoice),502618,5256,700.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/91,91312171,F2 (Invoice),502618,5256,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/100,91312171,F2 (Invoice),502618,34608,1100.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/101,91312171,F2 (Invoice),502618,34608,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/110,91312171,F2 (Invoice),502618,19205,200.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/111,91312171,F2 (Invoice),502618,33556,100.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/112,91312171,F2 (Invoice),502618,33556,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/113,91312171,F2 (Invoice),502618,29045,20.0,kg (Kilogram),PA,Panama
2025-01-03,91312171/114,91312171,F2 (Invoice),502618,29045,0.0,kg (Kilogram),PA,Panama
2025-01-03,91312172/10,91312172,F2 (Invoice),507343,18520,7200.0,kg (Kilogram),BR,Brazil
2025-01-03,91312172/11,91312172,F2 (Invoice),507343,18520,0.0,kg (Kilogram),BR,Brazil
2025-01-03,91312172/20,91312172,F2 (Invoice),507343,21817,6650.0,kg (Kilogram),BR,Brazil
2025-01-03,91312172/21,91312172,F2 (Invoice),507343,21817,0.0,kg (Kilogram),BR,Brazil
2025-01-03,91312172/30,91312172,F2 (Invoice),507343,34374,2100.0,kg (Kilogram),BR,Brazil
2025-01-03,91312172/31,91312172,F2 (Invoice),507343,34374,0.0,kg (Kilogram),BR,Brazil
2025-01-03,91312172/40,91312172,F2 (Invoice),507343,27215,3300.0,kg (Kilogram),BR,Brazil
2025-01-03,91312172/41,91312172,F2 (Invoice),507343,27215,0.0,kg (Kilogram),BR,Brazil
2025-01-03,91312173/10,91312173,F2 (Invoice),507593,21817,17100.0,kg (Kilogram),BR,Brazil
2025-01-03,91312173/11,91312173,F2 (Invoice),507593,21817,0.0,kg (Kilogram),BR,Brazil
