id,billing_date,billing_id,billing_document,billing_type,customer_number,sku,net_weight,weight_unit,country_code,country_name
14,2025-01-01,913,99,F2 (Invoice),285,32415,34.48275862068966,kg (Kilogram),ID,Indonesia
15,2025-01-01,913,99,F2 (Invoice),285,32415,0.0,kg (Kilogram),ID,Indonesia
16,2025-01-01,913,99,F2 (Invoice),285,32415,0.0,kg (Kilogram),ID,Indonesia
17,2025-01-01,913,99,F2 (Invoice),285,33437,68.96551724137932,kg (Kilogram),ID,Indonesia
18,2025-01-01,913,99,F2 (Invoice),285,33437,0.0,kg (Kilogram),ID,Indonesia
19,2025-01-01,913,99,F2 (Invoice),285,33437,0.0,kg (Kilogram),ID,Indonesia
20,2025-01-01,913,99,F2 (Invoice),285,32416,34.48275862068966,kg (Kilogram),ID,Indonesia
21,2025-01-01,913,99,F2 (Invoice),285,32416,0.0,kg (Kilogram),ID,Indonesia
22,2025-01-01,913,99,F2 (Invoice),285,32416,0.0,kg (Kilogram),ID,Indonesia
23,2025-01-01,913,99,F2 (Invoice),285,29758,34.48275862068966,kg (Kilogram),ID,Indonesia
24,2025-01-01,913,99,F2 (Invoice),285,29758,0.0,kg (Kilogram),ID,Indonesia
25,2025-01-01,913,99,F2 (Invoice),285,29758,0.0,kg (Kilogram),ID,Indonesia
26,2025-01-02,900,99,F2 (Invoice),075,26797,2.7586206896551726,kg (Kilogram),US,USA
27,2025-01-02,900,99,F2 (Invoice),075,26797,0.0,kg (Kilogram),US,USA
28,2025-01-02,900,99,F2 (Invoice),873,25523,4.137931034482759,kg (Kilogram),US,USA
29,2025-01-02,900,99,F2 (Invoice),873,25523,0.0,kg (Kilogram),US,USA
30,2025-01-02,900,99,F2 (Invoice),873,20420,1.0344827586206897,kg (Kilogram),US,USA
31,2025-01-02,900,99,F2 (Invoice),873,20420,0.0,kg (Kilogram),US,USA
32,2025-01-02,900,99,F2 (Invoice),873,20449,1.0344827586206897,kg (Kilogram),US,USA
33,2025-01-02,900,99,F2 (Invoice),873,20449,0.0,kg (Kilogram),US,USA
34,2025-01-02,900,99,F2 (Invoice),873,24911,5.517241379310345,kg (Kilogram),US,USA
35,2025-01-02,900,99,F2 (Invoice),873,24911,0.0,kg (Kilogram),US,USA
36,2025-01-02,913,99,F2 (Invoice),511,34685,103.44827586206897,kg (Kilogram),CH,Switzerland
37,2025-01-02,913,99,F2 (Invoice),511,34685,0.0,kg (Kilogram),CH,Switzerland
38,2025-01-02,913,99,F2 (Invoice),970,34101,703.448275862069,kg (Kilogram),AR,Argentina
39,2025-01-02,913,99,F2 (Invoice),970,34101,0.0,kg (Kilogram),AR,Argentina
40,2025-01-02,913,99,F2 (Invoice),970,34101,0.0,kg (Kilogram),AR,Argentina
41,2025-01-02,913,99,F2 (Invoice),970,24776,36.206896551724135,kg (Kilogram),AR,Argentina
42,2025-01-02,913,99,F2 (Invoice),970,24776,0.0,kg (Kilogram),AR,Argentina
43,2025-01-02,913,99,F2 (Invoice),970,34101,744.8275862068965,kg (Kilogram),AR,Argentina
44,2025-01-02,913,99,F2 (Invoice),970,34101,0.0,kg (Kilogram),AR,Argentina
45,2025-01-02,913,99,F2 (Invoice),970,34101,0.0,kg (Kilogram),AR,Argentina
46,2025-01-02,913,99,F2 (Invoice),970,34101,0.0,kg (Kilogram),AR,Argentina
47,2025-01-02,913,99,F2 (Invoice),950,28607,589.6551724137931,kg (Kilogram),MO,Macau
48,2025-01-02,913,99,F2 (Invoice),950,28607,0.0,kg (Kilogram),MO,Macau
49,2025-01-02,913,99,F2 (Invoice),950,28607,0.0,kg (Kilogram),MO,Macau
50,2025-01-02,942,99,F2B (Nota fiscal),113,24305,68.96551724137932,kg (Kilogram),BR,Brazil
51,2025-01-02,942,99,F2B (Nota fiscal),113,24305,0.0,kg (Kilogram),BR,Brazil
247,2025-01-03,991,99,F2 (Invoice),618,10310,0.1724137931034483,kg (Kilogram),PA,Panama
248,2025-01-03,991,99,F2 (Invoice),618,10310,0.0,kg (Kilogram),PA,Panama
249,2025-01-03,991,99,F2 (Invoice),618,3079,0.1724137931034483,kg (Kilogram),PA,Panama
250,2025-01-03,991,99,F2 (Invoice),618,3079,0.0,kg (Kilogram),PA,Panama
251,2025-01-03,991,99,F2 (Invoice),618,3079,0.0,kg (Kilogram),PA,Panama
252,2025-01-03,991,99,F2 (Invoice),618,28904,0.06896551724137931,kg (Kilogram),PA,Panama
253,2025-01-03,991,99,F2 (Invoice),618,28904,0.0,kg (Kilogram),PA,Panama
254,2025-01-03,991,99,F2 (Invoice),618,28793,0.06896551724137931,kg (Kilogram),PA,Panama
255,2025-01-03,991,99,F2 (Invoice),618,28793,0.0,kg (Kilogram),PA,Panama
256,2025-01-03,991,99,F2 (Invoice),618,27108,0.06896551724137931,kg (Kilogram),PA,Panama
257,2025-01-03,991,99,F2 (Invoice),618,27108,0.0,kg (Kilogram),PA,Panama
258,2025-01-03,991,99,F2 (Invoice),618,28852,0.06896551724137931,kg (Kilogram),PA,Panama
259,2025-01-03,991,99,F2 (Invoice),618,28852,0.0,kg (Kilogram),PA,Panama
260,2025-01-03,991,99,F2 (Invoice),618,28741,0.1724137931034483,kg (Kilogram),PA,Panama
261,2025-01-03,991,99,F2 (Invoice),618,28741,0.0,kg (Kilogram),PA,Panama
262,2025-01-03,991,99,F2 (Invoice),618,28776,0.06896551724137931,kg (Kilogram),PA,Panama
263,2025-01-03,991,99,F2 (Invoice),618,28776,0.0,kg (Kilogram),PA,Panama
264,2025-01-03,991,99,F2 (Invoice),618,28573,0.06896551724137931,kg (Kilogram),PA,Panama
265,2025-01-03,991,99,F2 (Invoice),618,28573,0.0,kg (Kilogram),PA,Panama
266,2025-01-03,991,99,F2 (Invoice),618,21151,0.1724137931034483,kg (Kilogram),PA,Panama
267,2025-01-03,991,99,F2 (Invoice),618,21151,0.0,kg (Kilogram),PA,Panama
268,2025-01-03,991,99,F2 (Invoice),618,34510,0.13793103448275862,kg (Kilogram),PA,Panama
269,2025-01-03,991,99,F2 (Invoice),618,34510,0.0,kg (Kilogram),PA,Panama
283,2025-01-03,986,99,F2 (Invoice),885,30152,0.0,kg (Kilogram),CN,China
284,2025-01-03,986,99,F2 (Invoice),885,33626,46.55172413793103,kg (Kilogram),CN,China
285,2025-01-03,986,99,F2 (Invoice),885,33626,0.0,kg (Kilogram),CN,China
286,2025-01-03,986,99,F2 (Invoice),885,16988,144.82758620689654,kg (Kilogram),CN,China
